Length,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
64.50,5.8399,6.0205,6.2133,6.5551,6.9662,7.4138,7.8514,8.1305,8.4168
65.00,5.9367,6.1202,6.3162,6.6635,7.0812,7.5360,7.9805,8.2641,8.5550
65.50,6.0326,6.2190,6.4180,6.7708,7.1950,7.6569,8.1084,8.3963,8.6917
66.00,6.1276,6.3168,6.5189,6.8770,7.3076,7.7764,8.2347,8.5270,8.8268
66.50,6.2213,6.4134,6.6185,6.9819,7.4189,7.8946,8.3597,8.6563,8.9604
67.00,6.3141,6.5089,6.7169,7.0856,7.5288,8.0113,8.4829,8.7837,9.0922
67.50,6.4059,6.6034,6.8143,7.1881,7.6375,8.1267,8.6048,8.9098,9.2225
68.00,6.4966,6.6968,6.9106,7.2894,7.7448,8.2405,8.7250,9.0340,9.3508
68.50,6.5862,6.7891,7.0057,7.3895,7.8509,8.3531,8.8440,9.1570,9.4779
69.00,6.6750,6.8805,7.0999,7.4886,7.9559,8.4645,8.9615,9.2785,9.6034
69.50,6.7629,6.9710,7.1932,7.5868,8.0599,8.5749,9.0781,9.3989,9.7279
70.00,6.8502,7.0608,7.2857,7.6841,8.1630,8.6842,9.1934,9.5182,9.8511
70.50,6.9367,7.1498,7.3774,7.7805,8.2651,8.7924,9.3077,9.6362,9.9730
71.00,7.0226,7.2383,7.4685,7.8764,8.3666,8.9000,9.4212,9.7535,10.0942
71.50,7.1082,7.3264,7.5592,7.9718,8.4676,9.0071,9.5342,9.8702,10.2147
72.00,7.1933,7.4140,7.6494,8.0666,8.5679,9.1134,9.6462,9.9859,10.3342
72.50,7.2777,7.5008,7.7388,8.1606,8.6674,9.2188,9.7575,10.1008,10.4529
73.00,7.3614,7.5869,7.8275,8.2538,8.7661,9.3234,9.8678,10.2148,10.5705
73.50,7.4443,7.6722,7.9154,8.3462,8.8638,9.4269,9.9770,10.3275,10.6870
74.00,7.5261,7.7564,8.0020,8.4372,8.9601,9.5289,10.0844,10.4385,10.8014
74.50,7.6069,7.8394,8.0876,8.5271,9.0552,9.6296,10.1906,10.5482,10.9147
75.00,7.6867,7.9215,8.1721,8.6158,9.1490,9.7289,10.2952,10.6561,11.0261
75.50,7.7655,8.0026,8.2556,8.7036,9.2418,9.8272,10.3988,10.7631,11.1365
76.00,7.8438,8.0830,8.3384,8.7905,9.3337,9.9244,10.5012,10.8688,11.2455
76.50,7.9217,8.1632,8.4208,8.8771,9.4252,10.0212,10.6032,10.9740,11.3541
77.00,7.9994,8.2431,8.5031,8.9636,9.5166,10.1180,10.7051,11.0793,11.4627
77.50,8.0778,8.3237,8.5861,9.0506,9.6086,10.2153,10.8076,11.1850,11.5718
78.00,8.1570,8.4051,8.6698,9.1386,9.7015,10.3136,10.9111,11.2918,11.6819
78.50,8.2371,8.4875,8.7546,9.2277,9.7957,10.4133,11.0161,11.4002,11.7938
